Component,Cod_X,Description,Group,Group_name,Supp_Cod,Supplier,ABC,New_ABC,Stock,Transit,Reserved,Total_Stock,Sales_12M,Unfulfilled_12M,Venda_mensal,%_Export_12M,Estoque_de_Seguran_a,Final_order,Total_Cost,Final_order_baseline,Sales-M9,Sales-M10,Sales-M11,Sales-M12,Sales-M1,Alcance_-_Estoque_Atual,Alcance_-_Estoque_Total,Alcance_-_Estoque_total_+_Novo_pedido,Currency,Cost,Multiplier,RP,LT,LT+RP,T_02_2026,T_03_2026,T_04_2026,NewProduct,IsException,Service_Level,Alerta_(Diferen_a:_Modelo_-_Baseline),Alerta_(Model_vs_Demand_Ratio),Alerta_Ruptura,Inventory_level,Safety_stock,Inspection,KanBan_Min,KanBan_Max,Origin,Demand_(LT+RP),On_demand,Participacao,Participacao_Acumulada,check_abc,Flag,Origem_Sugest_o,Cobertura,Check_Suggestion,Min_Order_Value_Warning,Diferen_a_(Modelo_-_Baseline),Diferen_a_Abs,Compara__o,Model_vs_Demand_Ratio,M_dia,DP,CV,CV_Flag,Nivel_de_Servico,Valor_cr_tico_da_normal_(Z),Z_Flag,Sigma_no_per_odo,Demanda_M_dia_no_Periodo,ROP,Order_Up_To,Venda_Perdida_Projetada_(Unid),Venda_Perdida_Projetada_($),Nova_cobertura,T_05_2026,Sales-M2,min,max,precision
T483.82,X000869,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,A,5,6250,30,6225,7488,10,624,19.02,1226,0,0.0,0,1043,911,220,323,324,0,10,10,US$,9.47,10,35,127,162,0,2550,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,5,722,0,<NA>,301,I,0,False,0.94,37.08,True,Não Comprar,Flag: Não Comprar,9.98,False,False,0,0,[Model == Baseline],0.0,470.17,412.1,0.88,ALTO,0.9,1.28,90% de chance de não faltar,957.63,2538.92,3496.55,4045.08,0.0,0.0,10.0,0,0,0.0,0.0,low
T0912L,X000923,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,A,59,7910,50,7919,7465,0,622,6.39,828,0,0.0,0,766,723,470,426,603,0,13,13,US$,7.28,10,35,127,162,0,810,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,59,1352,0,<NA>,3001,I,0,False,0.94,38.02,True,Não Comprar,Flag: Não Comprar,12.73,False,False,0,0,[Model == Baseline],0.0,498.0,278.37,0.56,ALTO,0.9,1.28,90% de chance de não faltar,646.87,2689.2,3336.07,3917.07,0.0,0.0,13.0,0,0,0.0,0.0,medium
T7444,X000573,MOTOR DE PASSO IAC,TC25,IAC - ATUADOR,4863,ZHITESEN,A,A,692,3570,0,4262,7447,0,621,34.79,687,0,0.0,90,543,511,398,744,469,1,7,7,US$,2.3,10,35,107,142,770,200,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,692,500,0,<NA>,3001,I,0,False,0.94,38.96,True,Comprar,Flag: Não Comprar,6.86,False,False,-90,90,[Baseline > Model],0.0,444.17,246.64,0.56,ALTO,0.9,1.28,90% de chance de não faltar,536.6,2102.4,2639.0,3157.2,0.0,0.0,7.0,2600,0,0.0,0.0,medium
T7439,X000568,MOTOR DE PASSO IAC,TC25,IAC - ATUADOR,4863,ZHITESEN,A,A,1440,3550,0,4990,7372,0,614,94.18,708,0,0.0,0,538,381,185,319,720,2,8,8,US$,2.3,10,35,107,142,2220,560,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,1440,420,0,<NA>,3001,I,0,False,0.93,39.89,True,Não Comprar,Flag: Não Comprar,8.13,False,False,0,0,[Model == Baseline],0.0,357.17,254.39,0.71,ALTO,0.9,1.28,90% de chance de não faltar,553.46,1690.6,2244.06,2660.76,0.0,0.0,8.0,770,0,0.0,0.0,low
T71061,X000368,SENSOR MAP,TC08,MAP,4994,SKK,A,A,1279,3330,804,3805,6785,0,565,100.0,1038,0,0.0,150,456,1120,493,73,329,2,7,7,US$,4.0,10,35,88,123,1080,480,1770,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,1279,257,0,<NA>,2201,I,0,False,0.85,40.74,True,Comprar,Flag: Não Comprar,6.73,False,True,-150,150,[Baseline > Model],0.0,411.83,400.33,0.97,ALTO,0.9,1.28,90% de chance de não faltar,810.61,1688.5,2499.11,2979.58,0.0,0.0,7.0,0,0,0.0,0.0,low
T70436,X000908,SENSOR DE ROTACAO,TC29,SENSOR ROTACAO,6523,ABORN,A,A,169,3570,426,3313,6748,0,562,46.71,995,0,0.0,630,478,577,99,510,991,0,6,6,US$,2.7,10,35,107,142,0,1100,0,False,False,ALTA VOLATILIDADE,🟡,🟢,🟢 Estoque Saudável,169,553,0,<NA>,2301,I,0,False,0.85,41.59,True,Comprar,Flag: Não Comprar,5.9,False,False,-630,630,[Baseline > Model],0.0,442.5,357.37,0.81,ALTO,0.9,1.28,90% de chance de não faltar,777.5,2094.5,2872.0,3388.25,0.0,0.0,6.0,2090,0,0.0,0.0,medium
T70558,X000259,SENSOR DE FASE,TC36,SENSOR DE FASE,6523,ABORN,A,A,2808,3530,40,6298,6428,0,536,100.0,499,0,0.0,0,382,166,175,120,486,5,12,12,US$,2.81,10,35,107,142,0,30,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,2808,241,0,<NA>,2801,I,0,False,0.81,42.4,True,Não Comprar,Flag: Não Comprar,11.75,False,False,0,0,[Model == Baseline],0.0,221.5,179.07,0.81,ALTO,0.9,1.28,90% de chance de não faltar,389.59,1048.43,1438.02,1696.44,0.0,0.0,12.0,3040,0,0.0,0.0,medium
T73026,X000848,SENSOR DE VELOCIDADE,TC26,SENSOR VELOCIDADE,6523,ABORN,A,A,246,3850,0,4096,6279,0,523,2.66,578,0,0.0,0,566,394,522,464,497,0,8,8,US$,2.5,10,35,107,142,0,1050,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,246,393,0,<NA>,2201,I,0,False,0.79,43.19,True,Não Comprar,Flag: Não Comprar,7.83,False,False,0,0,[Model == Baseline],0.0,407.17,207.69,0.51,ALTO,0.9,1.28,90% de chance de não faltar,451.86,1927.27,2379.13,2854.16,0.0,0.0,8.0,1960,0,0.0,0.0,low
T71050,X000361,SENSOR MAP,TC08,MAP,4994,SKK,A,A,0,2040,210,0,6211,0,518,80.66,2298,1090,5450.0,4390,104,179,223,126,2290,-5,-1,1,US$,5.0,10,35,88,123,1580,10,450,False,False,ALTA VOLATILIDADE,🔴,🟢,🔴 Risco de Ruptura,-2592,325,0,<NA>,1201,I,0,False,0.78,43.97,True,Comprar,Modelo ML (100%),-1.47,True,True,-3300,3300,[Baseline > Model],2.1,487.0,886.52,1.82,ALTO,0.9,1.28,90% de chance de não faltar,1795.07,1996.7,3791.77,4359.94,1502.199999999999,7511.0,1.0,0,0,1035.5,1144.5,medium
T7489,X000618,MOTOR DE PASSO IAC,TC25,IAC - ATUADOR,4863,ZHITESEN,A,A,3313,2970,31,6252,6081,0,507,100.0,216,0,0.0,0,0,34,177,20,144,7,12,12,US$,2.3,10,35,107,142,0,0,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,3313,113,0,<NA>,1401,I,0,False,0.76,44.73,True,Não Comprar,Flag: Não Comprar,12.33,False,False,0,0,[Model == Baseline],0.0,62.5,77.7,1.24,ALTO,0.9,1.28,90% de chance de não faltar,169.05,295.83,464.88,537.8,0.0,0.0,12.0,2970,0,0.0,0.0,high
