Cod_Produto,Cod_Fornecedor,Cod_X,Ativo,Excecao,Sob_Demanda,In_Inventory_Histories,B1_COD,B1_DESC,B1_GRUPO,NOM_GRUP,ORIGEM,B1_ATIVO,MULTIPLO_COMPRA,DTA_CADASTRO,CURVA,PRECO_VENDA_BRL,PRECO_VENDA_USD,PRECO_VENDA_EUR,KANBAN_MIN,KANBAN_MAX
T451.71,2880,X000088,False,False,True,True,T451.71,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2014-05-06,A,0.0,0.0,0.0,nan,301.0
T451.76,2880,X000089,False,False,True,True,T451.76,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2014-05-06,A,0.0,0.0,0.0,nan,101.0
T471.80/87,2880,X000956,True,False,False,True,T471.80/87,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2018-05-24,A,197.55,11.43,12.39,nan,801.0
T471.93/88,2880,X000947,True,False,False,True,T471.93/88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2018-05-10,A,197.55,0.0,12.39,nan,601.0
T474.95,2880,X000901,True,False,False,True,T474.95,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2017-06-09,A,79.16,3.47,3.48,nan,301.0
T475.95,2880,X000902,True,False,False,True,T475.95,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2017-06-09,A,132.47,6.0,3.06,nan,2.0
T476.80,2880,X000904,True,False,False,True,T476.80,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2017-06-14,A,132.47,6.0,3.06,nan,2.0
T476.87,2880,X000903,True,False,False,True,T476.87,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2017-06-09,A,79.16,0.0,0.0,nan,2.0
T477.87,2880,X000890,True,False,False,True,T477.87,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2017-02-08,A,0.0,0.0,0.0,nan,301.0
T478.105,2880,X000893,True,False,False,True,T478.105,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2017-02-08,A,0.0,0.0,0.0,nan,2.0
T479.82,2880,X000877,True,False,False,True,T479.82,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2016-05-12,A,129.66,12.46,12.46,nan,2.0
T480.78,13443,X000864,True,False,False,True,T480.78,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2015-12-17,A,142.63,13.36,13.37,nan,1601.0
T481.87,2880,X000867,True,False,False,True,T481.87,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2015-12-22,A,0.0,0.0,0.0,nan,2.0
T482.80,2880,X000894,True,False,False,True,T482.80,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2017-02-08,A,0.0,0.0,0.0,nan,41.0
