Component,Description,Group_code,Group_name,Supp_Cod,Supplier,Cod_X,ABC,Stock,Transit,Inspection,Reserved,Total_Stock,Sales_12M,Lost_12M,Unfulfilled_12M,KanBan_Min,KanBan_Max,Order_sug,Final_order,Total_Stock_Sales_12M,Order_sug_Sales_12M,%_Export_12M,Safety_stock,RP,LT,LT+RP,Inventory_level,Demand_(LT+RP),On_demand,Origin,Cost,Currency,Multiplier,Total_Cost,base_month,base_date
T0930L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001250,A,312.0,600,0,20,892.0,0,0.0,0.0,nan,501,0.0,0.0,nan,nan,0,3808.0,35,127,162,312.0,-4218,False,I,6.28,US$,10.0,0.0,2026-02-01,2026-02-28
T0931,TUBO REFRIGERACAO PLASTICO,TUB1,TUBO REFRIGERACAO PLASTICO,2880,TCI GLOBAL CORP,X001259,A,94.0,0,0,0,94.0,0,0.0,0.0,nan,21,0.0,0.0,nan,nan,0,401.0,35,127,162,94.0,66,False,I,2.1,US$,1.0,0.0,2026-02-01,2026-02-28
T0932,CARCACA PLµSTICO,TC02,VALVULAS VT,5024,OSSCA,X001543,A,227.0,220,0,0,447.0,0,0.0,0.0,nan,201,0.0,0.0,nan,nan,0,562.0,35,127,162,227.0,-168,False,I,4.74,US$,10.0,0.0,2026-02-01,2026-02-28
T0933L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001646,A,21.0,90,0,0,111.0,0,0.0,0.0,10.0,100,0.0,0.0,nan,nan,0,119.0,35,127,162,21.0,-513,False,I,14.1,US$,10.0,0.0,2026-02-01,2026-02-28
T0934L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001647,A,36.0,280,0,0,316.0,0,0.0,0.0,20.0,200,0.0,0.0,nan,nan,0,1142.0,35,127,162,36.0,-5477,False,I,7.47,US$,10.0,0.0,2026-02-01,2026-02-28
T0935L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000164,A,50.0,60,0,0,110.0,0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,0,213.0,35,127,162,50.0,-610,False,I,5.88,US$,10.0,0.0,2026-02-01,2026-02-28
T0937,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,5024,OSSCA,X001950,A,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,0,0.0,35,127,162,0.0,0,False,I,1.25,US$,10.0,0.0,2026-02-01,2026-02-28
T0938,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,5024,OSSCA,X001953,A,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,0,0.0,35,127,162,0.0,0,False,I,4.96,US$,10.0,0.0,2026-02-01,2026-02-28
T3133,SENSOR DE TEMPERATURA,3000,SENSORES,<NA>,<NA>,<NA>,A,0.0,0,0,0,0.0,0,0.0,0.0,nan,6,0.0,0.0,nan,nan,0,nan,35,100,135,0.0,-26,False,I,nan,<NA>,nan,nan,2026-02-01,2026-02-28
T3137,SENSOR DE TEMPERATURA,3000,SENSORES,<NA>,<NA>,<NA>,A,0.0,0,0,0,0.0,0,0.0,0.0,nan,2,0.0,0.0,nan,nan,0,nan,35,100,135,0.0,-54,False,I,nan,<NA>,nan,nan,2026-02-01,2026-02-28
T3142,SENSOR DE TEMPERATURA,3000,SENSORES,<NA>,<NA>,<NA>,A,4.0,0,0,0,4.0,0,0.0,0.0,nan,2,0.0,0.0,nan,nan,0,nan,35,100,135,4.0,13,False,I,nan,<NA>,nan,nan,2026-02-01,2026-02-28
T3146,SENSOR DE TEMPERATURA,3000,SENSORES,<NA>,<NA>,<NA>,A,18.0,0,0,0,18.0,0,0.0,0.0,nan,2,0.0,0.0,nan,nan,0,nan,35,100,135,18.0,-53,False,I,nan,<NA>,nan,nan,2026-02-01,2026-02-28
T3147,SENSOR DE TEMPERATURA,3000,SENSORES,<NA>,<NA>,<NA>,A,41.0,0,0,0,41.0,0,0.0,0.0,nan,2,0.0,0.0,nan,nan,0,nan,35,100,135,41.0,-48,False,I,nan,<NA>,nan,nan,2026-02-01,2026-02-28
T3148,SENSOR DE TEMPERATURA,3000,SENSORES,<NA>,<NA>,<NA>,A,217.0,0,0,0,217.0,0,0.0,0.0,nan,2,0.0,0.0,nan,nan,0,nan,35,100,135,217.0,-51,False,I,nan,<NA>,nan,nan,2026-02-01,2026-02-28
T3153,SENSOR DE TEMPERATURA,3000,SENSORES,<NA>,<NA>,<NA>,A,50.0,0,0,0,50.0,0,0.0,0.0,nan,2,0.0,0.0,nan,nan,0,nan,35,100,135,50.0,-54,False,I,nan,<NA>,nan,nan,2026-02-01,2026-02-28
T3154,SENSOR DE TEMPERATURA,3000,SENSORES,<NA>,<NA>,<NA>,A,97.0,0,0,0,97.0,0,0.0,0.0,nan,2,0.0,0.0,nan,nan,0,nan,35,100,135,97.0,-55,False,I,nan,<NA>,nan,nan,2026-02-01,2026-02-28
