Component,Cod_X,Description,Group_name,Supp_Cod,Supplier,ABC,Participacao,New_ABC,check_abc,Alcance_-_Estoque_Atual,Alcance_-_Estoque_Total,Alcance_-_Estoque_total_+_Novo_pedido_(Model),Alcance_-_Estoque_total_+_Novo_pedido_(Baseline),Flag,Stock,Transit,Inspection,Reserved,Total_Stock,Sales_12M,Venda_mensal,Cobertura,Final_order,Final_order_baseline,Final_order_ruptura,Nova_cobertura_Ruptura,Unfulfilled_12M,KanBan_Min,KanBan_Max,%_Export_12M,Safety_stock,RP,LT,LT+RP,Inventory_level,Demand_(LT+RP),On_demand,Origin,Cost,Currency,Multiplier,Total_Cost,Sales-M9,Sales-M10,Sales-M11,Sales-M12,Sales-M1,Sales-M2,NewProduct,IsException,Check_Suggestion,Min_Order_Value_Warning,Group,Estoque_de_Seguran_a,Alcance_-_Estoque_total_+_Novo_pedido,T_02_2026,T_03_2026,T_04_2026,Service_Level,Alerta_(Diferen_a:_Modelo_-_Baseline),Alerta_(Model_vs_Demand_Ratio),Alerta_Ruptura,Participacao_Acumulada,Origem_Sugest_o,Diferen_a_(Modelo_-_Baseline),Diferen_a_Abs,Compara__o,Model_vs_Demand_Ratio,M_dia,DP,CV,CV_Flag,Nivel_de_Servico,Valor_cr_tico_da_normal_(Z),Z_Flag,Sigma_no_per_odo,Demanda_M_dia_no_Periodo,ROP,Order_Up_To,Venda_Perdida_Projetada_(Unid),Venda_Perdida_Projetada_($),Nova_cobertura,T_05_2026
T483.82,X000869,VALVULA TERMOSTATICA S/OURO,VALVULAS VT,2880,TCI GLOBAL CORP,A,0.94,A,True,0,10,10,10,Não Comprar,5,6250,0,30,6225,7488,624,9.98,0,0,0,10,10,0,301,19.02,722,35,127,162,5,0,False,I,9.47,US$,10.0,0.0,1043,911,220,323,324,0,False,False,False,False,TC02,1226.0,10.0,0.0,2550.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,37.08,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,470.17,412.1,0.88,ALTO,0.9,1.28,90% de chance de não faltar,957.63,2538.92,3496.55,4045.08,0.0,0.0,10.0,0.0
T0912L,X000923,CARCACA DE ALUMINIO,VALVULAS VT,2880,TCI GLOBAL CORP,A,0.94,A,True,0,13,13,13,Não Comprar,59,7910,0,50,7919,7465,622,12.73,0,0,0,13,0,0,3001,6.39,1352,35,127,162,59,0,False,I,7.28,US$,10.0,0.0,766,723,470,426,603,0,False,False,False,False,TC02,828.0,13.0,0.0,810.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,38.02,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,498.0,278.37,0.56,ALTO,0.9,1.28,90% de chance de não faltar,646.87,2689.2,3336.07,3917.07,0.0,0.0,13.0,0.0
T7444,X000573,MOTOR DE PASSO IAC,IAC - ATUADOR,4863,ZHITESEN,A,0.94,A,True,1,7,7,7,Comprar,692,3570,0,0,4262,7447,621,6.86,0,90,90,7,0,0,3001,34.79,500,35,107,142,692,0,False,I,2.3,US$,10.0,0.0,543,511,398,744,469,0,False,False,False,False,TC25,687.0,7.0,770.0,200.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,38.96,Flag: Não Comprar,-90.0,90.0,[Baseline > Model],0.0,444.17,246.64,0.56,ALTO,0.9,1.28,90% de chance de não faltar,536.6,2102.4,2639.0,3157.2,0.0,0.0,7.0,2600.0
T7439,X000568,MOTOR DE PASSO IAC,IAC - ATUADOR,4863,ZHITESEN,A,0.93,A,True,2,8,8,8,Não Comprar,1440,3550,0,0,4990,7372,614,8.13,0,0,0,8,0,0,3001,94.18,420,35,107,142,1440,0,False,I,2.3,US$,10.0,0.0,538,381,185,319,720,0,False,False,False,False,TC25,708.0,8.0,2220.0,560.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,39.89,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,357.17,254.39,0.71,ALTO,0.9,1.28,90% de chance de não faltar,553.46,1690.6,2244.06,2660.76,0.0,0.0,8.0,770.0
T71061,X000368,SENSOR MAP,MAP,4994,SKK,A,0.85,A,True,2,7,7,7,Comprar,1279,3330,0,804,3805,6785,565,6.73,0,150,150,7,0,0,2201,100.0,257,35,88,123,1279,0,False,I,4.0,US$,10.0,0.0,456,1120,493,73,329,0,False,False,False,True,TC08,1038.0,7.0,1080.0,480.0,1770.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,40.74,Flag: Não Comprar,-150.0,150.0,[Baseline > Model],0.0,411.83,400.33,0.97,ALTO,0.9,1.28,90% de chance de não faltar,810.61,1688.5,2499.11,2979.58,0.0,0.0,7.0,0.0
T70436,X000908,SENSOR DE ROTACAO,SENSOR ROTACAO,6523,ABORN,A,0.85,A,True,0,6,6,7,Comprar,169,3570,0,426,3313,6748,562,5.9,0,630,630,7,0,0,2301,46.71,553,35,107,142,169,0,False,I,2.7,US$,10.0,0.0,478,577,99,510,991,0,False,False,False,False,TC29,995.0,6.0,0.0,1100.0,0.0,ALTA VOLATILIDADE,🟡,🟢,🟢 Estoque Saudável,41.59,Flag: Não Comprar,-630.0,630.0,[Baseline > Model],0.0,442.5,357.37,0.81,ALTO,0.9,1.28,90% de chance de não faltar,777.5,2094.5,2872.0,3388.25,0.0,0.0,6.0,2090.0
T70558,X000259,SENSOR DE FASE,SENSOR DE FASE,6523,ABORN,A,0.81,A,True,5,12,12,12,Não Comprar,2808,3530,0,40,6298,6428,536,11.75,0,0,0,12,0,0,2801,100.0,241,35,107,142,2808,0,False,I,2.81,US$,10.0,0.0,382,166,175,120,486,0,False,False,False,False,TC36,499.0,12.0,0.0,30.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,42.4,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,221.5,179.07,0.81,ALTO,0.9,1.28,90% de chance de não faltar,389.59,1048.43,1438.02,1696.44,0.0,0.0,12.0,3040.0
T73026,X000848,SENSOR DE VELOCIDADE,SENSOR VELOCIDADE,6523,ABORN,A,0.79,A,True,0,8,8,8,Não Comprar,246,3850,0,0,4096,6279,523,7.83,0,0,0,8,0,0,2201,2.66,393,35,107,142,246,0,False,I,2.5,US$,10.0,0.0,566,394,522,464,497,0,False,False,False,False,TC26,578.0,8.0,0.0,1050.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,43.19,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,407.17,207.69,0.51,ALTO,0.9,1.28,90% de chance de não faltar,451.86,1927.27,2379.13,2854.16,0.0,0.0,8.0,1960.0
T71050,X000361,SENSOR MAP,MAP,4994,SKK,A,0.78,A,True,-5,-1,2,8,Comprar,0,2040,0,210,0,6211,518,-1.47,1090,4390,3630,7,0,0,1201,80.66,325,35,88,123,-2592,0,False,I,5.0,US$,10.0,5450.0,104,179,223,126,2290,0,False,False,True,True,TC08,2298.0,1.0,1580.0,10.0,450.0,ALTA VOLATILIDADE,🔴,🟢,🔴 Risco de Ruptura,43.97,Modelo ML (100%),-3300.0,3300.0,[Baseline > Model],2.1,487.0,886.52,1.82,ALTO,0.9,1.28,90% de chance de não faltar,1795.07,1996.7,3791.77,4359.94,1502.199999999999,7511.0,1.0,0.0
T7489,X000618,MOTOR DE PASSO IAC,IAC - ATUADOR,4863,ZHITESEN,A,0.76,A,True,7,12,12,12,Não Comprar,3313,2970,0,31,6252,6081,507,12.33,0,0,0,12,0,0,1401,100.0,113,35,107,142,3313,0,False,I,2.3,US$,10.0,0.0,0,34,177,20,144,0,False,False,False,False,TC25,216.0,12.0,0.0,0.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,44.73,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,62.5,77.7,1.24,ALTO,0.9,1.28,90% de chance de não faltar,169.05,295.83,464.88,537.8,0.0,0.0,12.0,2970.0
