Component,Description,Group_code,Group_name,Supp_Cod,Supplier,Cod_X,ABC,Stock,Transit,Inspection,Reserved,Total_Stock,Sales_12M,Lost_12M,Unfulfilled_12M,KanBan_Min,KanBan_Max,Order_sug,Final_order,Total_Stock_Sales_12M,Order_sug_Sales_12M,%_Export_12M,Safety_stock,RP,LT,LT+RP,Inventory_level,Demand_(LT+RP),On_demand,Origin,Cost,Currency,Multiplier,Total_Cost,base_month,base_date
T0938,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,5024,OSSCA,X001953,A,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,35,127,162,0.0,0,False,I,4.96,US$,10,0.0,2026-02-01,2026-02-28
T322.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000032,A,25.0,100.0,0,0,125.0,193,0.0,0,nan,151,30,30,64.76683937823834,15.544041450777202,1.0362694300518136,31,35,127,162,25.0,118,False,I,10.4,US$,10,312.0,2026-02-01,2026-02-28
T323.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000033,A,26.0,240.0,0,0,266.0,477,1.3068493150684932,0,nan,201,0,0,55.76519916142557,0.0,0.8385744234800839,44,35,127,162,26.0,194,False,I,10.86,US$,10,0.0,2026-02-01,2026-02-28
T3245,SENSOR DE TEMPERATURA,3000,SENSORES,6615,AUTOTEC,X000865,A,657.0,0.0,0,100,557.0,2454,0.0,0,nan,1001,710,710,22.69763651181744,28.93235533822331,23.227383863080682,387,35,127,162,657.0,880,False,I,1.33,US$,10,944.3000000000001,2026-02-01,2026-02-28
T355.82,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000052,A,68.0,50.0,0,0,118.0,95,0.0,0,nan,61,0,0,124.21052631578948,0.0,0.0,146,35,127,162,68.0,81,False,I,4.03,US$,10,0.0,2026-02-01,2026-02-28
T368.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000054,A,125.0,60.0,0,0,185.0,104,0.0,0,nan,101,0,0,177.8846153846154,0.0,0.0,46,35,127,162,125.0,49,False,I,10.86,US$,10,0.0,2026-02-01,2026-02-28
T375.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000056,A,46.0,50.0,0,0,96.0,87,0.0,0,nan,71,0,0,110.34482758620689,0.0,81.60919540229885,4,35,127,162,46.0,31,False,I,3.02,US$,10,0.0,2026-02-01,2026-02-28
T378.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000059,A,100.0,100.0,0,0,200.0,171,67.93150684931507,0,nan,71,0,0,116.95906432748538,0.0,70.17543859649122,14,35,127,162,100.0,49,False,I,3.16,US$,10,0.0,2026-02-01,2026-02-28
T4098,PLUG ELETRONICO,3001,PLUG ELETRONICO,2102,FAE,X000073,A,3.0,0.0,0,0,3.0,10,0.0,0,nan,11,10,10,30.0,100.0,20.0,4,35,43,78,3.0,1,False,I,5.1,EUR,10,51.0,2026-02-01,2026-02-28
T4249,PLUG ELETRONICO,3001,PLUG ELETRONICO,7909,FLY AUTO PARTS CO.,X000981,A,750.0,1540.0,0,20,2270.0,3122,0.0,0,nan,1101,0,0,72.70980140935298,0.0,41.22357463164638,302,35,92,127,750.0,739,False,I,1.5,US$,10,0.0,2026-02-01,2026-02-28
